[ 2024-06-30 23:49:37,450  28 COMPONENTS - INFO - starting the Data Ingestion]
[ 2024-06-30 23:49:37,456  34 COMPONENTS - INFO - Ingestion ended .... HURRAY]
[ 2024-06-30 23:49:37,456  38 COMPONENTS - INFO - Saving the Data into Artifacts Folder]
[ 2024-06-30 23:49:37,460  45 COMPONENTS - INFO - Saving of Data Finished]
[ 2024-06-30 23:49:37,460  28 COMPONENTS - INFO - Reading the Data Provided by Ingestion]
[ 2024-06-30 23:49:37,461  33 COMPONENTS - INFO - Reading of Data Provided by Ingestion COMPLETED]
[ 2024-06-30 23:49:37,461  34 COMPONENTS - INFO - Checking numerical and categorical features in data]
[ 2024-06-30 23:49:37,461  39 COMPONENTS - INFO - NUMERICAL FEATURES ARE - ['reading_score', 'writing_score']. And CATEGORICAL FEATURES ARE - ['gender', 'race_ethnicity', 'parental_level_of_education', 'lunch', 'test_preparation_course']]
[ 2024-06-30 23:49:37,461  50 COMPONENTS - INFO - Transformation beginning]
[ 2024-06-30 23:49:37,465  57 COMPONENTS - INFO - Transformation completed]
[ 2024-06-30 23:49:37,465  58 COMPONENTS - INFO - Creating the pickle file for preprocessor]
[ 2024-06-30 23:49:37,466  63 COMPONENTS - INFO - Dumped the pickle file in Artifacts Folder]
[ 2024-06-30 23:49:37,466  64 COMPONENTS - INFO - Saving X_train_transformed X_test_transformed into Artifacts Folder]
[ 2024-06-30 23:49:37,472  69 COMPONENTS - INFO - Both CSV files Saved]
[ 2024-06-30 23:49:37,472  28 COMPONENTS - INFO - Loading the data into Dataframes]
[ 2024-06-30 23:49:37,474  35 COMPONENTS - INFO - Loading of data finished]
[ 2024-06-30 23:49:37,474  47 COMPONENTS - INFO - Starting search for best model]
[ 2024-06-30 23:49:40,098  65 COMPONENTS - INFO - Best model is - SVR(C=10, kernel='linear')]
[ 2024-06-30 23:49:40,098  66 COMPONENTS - INFO - Saving bestModel into Artifact folder]
[ 2024-06-30 23:49:40,100  70 COMPONENTS - INFO - bestModel saved into Artifact folder]
